,case_id
4,57ad1fe7c2265c04d1192a41
7,57ad1ff0c2265c04d1192acc
80,57ace688c2265c28a56daa2e
87,57af6142c2265c4cb2d2da52
135,57ace859c2265c04d116bf17
141,57acf360c2265c258990ffb5
152,57aa2224c2265c2589755c4a
214,57ba82b6c2265c5f452b9c2c
222,57ab8b77c2265c04d108ee7a
231,57ba82dfc2265c5f452b9d4e
256,57ba866fc2265c5f452bb732
331,57baf6edc2265c5f452ef1de
415,58121fe12f12c63192cbf4bd
476,57acea75c2265c2589909050
498,57aa2e66c2265c258975c8f1
563,57aceb15c2265c04d116ddf1
570,57acf21fc2265c258990ec88
582,57acf2a4c2265c04d11734b0
592,57baf520c2265c5f452ee7da
598,57ad13cdc2265c04d118be43
609,57abe222c2265c2589861522
647,57aa64f5c2265c28a55524e6
648,57ad13e8c2265c04d118bf71
651,57acf35dc2265c258990ff9c
758,57ac338fc2265c04d10f66ce
764,57ac3387c2265c04d10f6673
769,57aa557fc2265c04d1fd6054
780,58113e502f12c63192b53296
782,57aa5581c2265c04d1fd6073
817,57b98fd0c2265c0f88cc7097
857,58104eeb2f12c631927e316e
886,57ace9a5c2265c04d116ce1c
954,57aceac0c2265c25899092d2
997,57b9848fc2265c0f88cc1019
1022,57a5ea28c2265c04d1d9278d
1025,57baba1ec2265c5f452d2ca3
1030,57a951b9c2265c28a54c30b9
1052,5810f44e2f12c631929a92a5
1092,57a7f955c2265c04d1eac89b
1095,580dcbe9b9ca96490c6b557e
1127,57a7f97bc2265c04d1eac9c4
1238,580f4b922f12c60603ed1e21
1244,57bd854fc2265c4f9382b85e
1250,581138812f12c63192b3e246
1370,5810a5bf2f12c631928c8a54
1405,57bc58f3c2265c0b819d1289
1428,5810a6d22f12c631928caecf
1457,57af9234c2265c7c629686fb
1506,57a91ef9c2265c04d1f39a55
1514,57a91e8ec2265c04d1f39850
1580,581036ce2f12c6319279a484
1634,58101ac02f12c631927482c2
1646,58101c632f12c6319274cd69
1757,57a965a1c2265c25896fbae0
1864,57a91f41c2265c28a54a9f84
1871,5810d50b2f12c63192936a1b
1872,57bd7e2cc2265c4f93828ed7
1877,57a91ed9c2265c28a54a9d77
1968,57a72088c2265c04d1e2d5f4
1979,581080672f12c6319286dc93
1983,58101d232f12c6319274f257
2022,581110dd2f12c63192a03c8d
2054,5810d3b42f12c63192931041
2066,57a7385ac2265c28a53ac4b4
2068,5810442e2f12c631927c1b15
2132,57a7508bc2265c04d1e48e07
2143,57a9976dc2265c28a54e3846
2175,57b427c9c2265c2f5fd6ceea
2205,57af87e0c2265c7bd4e47f2e
2208,5ade1696e13823caca0bf049
2221,57a811f1c2265c28a5426943
2254,5810d3af2f12c63192930d87
2275,588a09ca8fb97c1db3e196a7
2357,57a953c8c2265c04d1f53cbe
2376,57a91c0bc2265c04d1f37fc8
2390,57a91ebbc2265c28a54a9c8d
2407,57a91c05c2265c28a54a8479
2440,57bca640c2265c3c09d7563a
2442,5a594f63e1382313cb9e9659
2459,5810ef252f12c63192999815
2486,5811628d2f12c63192be19f7
2551,58115fc42f12c63192bd8828
2579,5bc810aa052622504ece8564
2614,57af484ac2265c7c6294467e
2646,581183842f12c63192c258dd
2693,5811568f2f12c63192bb1860
2740,58650c098a860383c4268871
2759,57a6f79ec2265c28a5389574
2761,57a97eb3c2265c04d1f6a1f9
2841,57a91c08c2265c28a54a849a
2852,581105ed2f12c631929dffb8
2905,57af484cc2265c7c6294469a
2936,57a73afec2265c28a53ada76
2946,57a93556c2265c28a54b52a9
2966,57a91d18c2265c04d1f38964
2980,57a91d11c2265c04d1f388fa
3037,57a9c23bc2265c25897215ae
3051,57a91db1c2265c25896d6ea8
3081,57a7370ec2265c25895d8914
3128,581182df2f12c63192c24f35
3132,57a8fad4c2265c28a54999c2
3204,57a91d09c2265c04d1f3886f
3208,57a82e21c2265c04d1ec6779
3225,57a91db6c2265c25896d6ee4
3260,57a965bcc2265c25896fbbdf
3276,57a91d28c2265c04d1f38a32
3301,57a91dbec2265c25896d6f2f
3308,57af3afbc2265c4cb2d1e6e0
3324,57a91cb5c2265c04d1f385b2
3340,57b3948ac2265c3129807d05
3369,580dcbf9b9ca96490c6b5eaa
3373,58118a752f12c63192c2e85e
3376,58118b0d2f12c63192c2f755
3431,58118b0d2f12c63192c2f753
3440,58113d052f12c63192b4f932
3463,58892437f7a31443fe4fa68a
3466,57b16230c2265c11493d9309
3469,57a91de5c2265c28a54a94b8
3498,580dcbf9b9ca96490c6b5e83
3582,59624b5ff75d3fed348e81ab
3587,580dcbf9b9ca96490c6b5e9e
3608,57a73733c2265c28a53ab80a
3609,57a91d5bc2265c28a54a8ff9
3618,57a9247ec2265c04d1f3cb00
3625,57a91d21c2265c04d1f389d9
3638,57b16f1fc2265c08f3f93021
3681,57a7373cc2265c28a53ab864
3686,57a817fcc2265c2589658a3c
3709,584ed5852f12c65e4838338f
3744,57a91ea8c2265c28a54a9c08
3759,57a8ff10c2265c28a549b6cc
3760,57a96534c2265c25896fb777
3772,57a9629fc2265c28a54cc334
3778,584ed5dc2f12c65e483834f9
3794,57a75013c2265c04d1e48a4d
3819,57a745e7c2265c25895e0f6f
3824,57b14848c2265c11493c8a11
3839,5a4e8a3ce13823b4bbc78784
3894,57bd94d7c2265c4f938330e8
3920,57a85941c2265c04d1edc11a
3937,5862abeec3666e4bc3a85c48
3946,57b16f4dc2265c08f3f93140
3949,57a8ff10c2265c28a549b6d6
3955,57a7159bc2265c04d1e26ff2
3965,57a8171ec2265c04d1ebb680
4069,57a9629fc2265c28a54cc33b
4083,57a73d58c2265c04d1e3d620
4092,57a951bfc2265c28a54c30e4
4159,57a90290c2265c25896caf93
4178,57a91aebc2265c25896d52c5
4182,57a81887c2265c258965909d
