,relation_id,case_lawyer,case,lawyer,case_id,lawyer_id
0,rcase_lawyer_1,"('57baba28c2265c5f452d2cef', '唐荣生')",57baba28c2265c5f452d2cef,唐荣生,case_1,lawyer_1
1,rcase_lawyer_4,"('57baba99c2265c5f452d3090', '唐荣生')",57baba99c2265c5f452d3090,唐荣生,case_4,lawyer_1
2,rcase_lawyer_6,"('57baba8fc2265c5f452d303f', '唐荣生')",57baba8fc2265c5f452d303f,唐荣生,case_6,lawyer_1
3,rcase_lawyer_8,"('57ac901ec2265c28a56a8c9a', '赵鹏')",57ac901ec2265c28a56a8c9a,赵鹏,case_8,lawyer_2
4,rcase_lawyer_10,"('57baba88c2265c5f452d2ff2', '唐荣生')",57baba88c2265c5f452d2ff2,唐荣生,case_10,lawyer_1
5,rcase_lawyer_11,"('57baba4cc2265c5f452d2e16', '唐荣生')",57baba4cc2265c5f452d2e16,唐荣生,case_11,lawyer_1
6,rcase_lawyer_12,"('57baba71c2265c5f452d2efc', '唐荣生')",57baba71c2265c5f452d2efc,唐荣生,case_12,lawyer_1
7,rcase_lawyer_13,"('57ab967bc2265c28a56052de', '陈建华')",57ab967bc2265c28a56052de,陈建华,case_13,lawyer_3
8,rcase_lawyer_14,"('57ab9685c2265c28a5605365', '陈建华')",57ab9685c2265c28a5605365,陈建华,case_14,lawyer_3
9,rcase_lawyer_15,"('57baba45c2265c5f452d2dd3', '唐荣生')",57baba45c2265c5f452d2dd3,唐荣生,case_15,lawyer_1
10,rcase_lawyer_16,"('57baba50c2265c5f452d2e51', '唐荣生')",57baba50c2265c5f452d2e51,唐荣生,case_16,lawyer_1
11,rcase_lawyer_18,"('57ac6a9bc2265c28a568c3df', '王桂苹')",57ac6a9bc2265c28a568c3df,王桂苹,case_18,lawyer_4
12,rcase_lawyer_19,"('57ab033ec2265c25897d5a62', '赵亮')",57ab033ec2265c25897d5a62,赵亮,case_19,lawyer_5
13,rcase_lawyer_21,"('57ac9020c2265c28a56a8caf', '赵鹏')",57ac9020c2265c28a56a8caf,赵鹏,case_21,lawyer_2
14,rcase_lawyer_23,"('57baba77c2265c5f452d2f3a', '唐荣生')",57baba77c2265c5f452d2f3a,唐荣生,case_23,lawyer_1
15,rcase_lawyer_26,"('57ab9462c2265c04d1093edb', '陈全')",57ab9462c2265c04d1093edb,陈全,case_26,lawyer_6
16,rcase_lawyer_27,"('57ab9462c2265c04d1093edb', '林军')",57ab9462c2265c04d1093edb,林军,case_26,lawyer_7
17,rcase_lawyer_28,"('57b80934c2265c6884a39558', '张钧')",57b80934c2265c6884a39558,张钧,case_27,lawyer_8
18,rcase_lawyer_29,"('57aaf50fc2265c25897cdf1d', '赵亮')",57aaf50fc2265c25897cdf1d,赵亮,case_28,lawyer_5
19,rcase_lawyer_32,"('57a5ec85c2265c04d1d93751', '韩玲')",57a5ec85c2265c04d1d93751,韩玲,case_31,lawyer_9
20,rcase_lawyer_33,"('57a5ec85c2265c04d1d93751', '高文盛')",57a5ec85c2265c04d1d93751,高文盛,case_31,lawyer_10
21,rcase_lawyer_34,"('57aab194c2265c04d1012292', '王健')",57aab194c2265c04d1012292,王健,case_32,lawyer_11
22,rcase_lawyer_35,"('57aab194c2265c04d1012292', '韩雪梅')",57aab194c2265c04d1012292,韩雪梅,case_32,lawyer_12
23,rcase_lawyer_38,"('57abf074c2265c258986a2e1', '张建胜')",57abf074c2265c258986a2e1,张建胜,case_35,lawyer_13
24,rcase_lawyer_40,"('57aa4dfdc2265c04d1fd19ff', '杨继军')",57aa4dfdc2265c04d1fd19ff,杨继军,case_37,lawyer_14
25,rcase_lawyer_41,"('57ab8dc1c2265c04d1090289', '王红清')",57ab8dc1c2265c04d1090289,王红清,case_38,lawyer_15
26,rcase_lawyer_42,"('57ac9a7cc2265c04d11404e6', '李淑娟')",57ac9a7cc2265c04d11404e6,李淑娟,case_39,lawyer_16
27,rcase_lawyer_46,"('57b5c4e0c2265c59f3c0232d', '黄敏')",57b5c4e0c2265c59f3c0232d,黄敏,case_43,lawyer_17
28,rcase_lawyer_55,"('57aa5728c2265c2589773628', '牛新龙')",57aa5728c2265c2589773628,牛新龙,case_52,lawyer_18
29,rcase_lawyer_56,"('57aa5728c2265c2589773628', '路广')",57aa5728c2265c2589773628,路广,case_52,lawyer_19
30,rcase_lawyer_60,"('57aa1b21c2265c2589751b09', '李可')",57aa1b21c2265c2589751b09,李可,case_56,lawyer_20
31,rcase_lawyer_61,"('57ace688c2265c28a56daa2e', '徐燕')",57ace688c2265c28a56daa2e,徐燕,case_57,lawyer_21
32,rcase_lawyer_63,"('5811024c2f12c631929d3790', '黄燕')",5811024c2f12c631929d3790,黄燕,case_59,lawyer_22
