,court_id,court
0,court_0,杭州市西湖区人民法院
1,court_1,安康市汉滨区人民法院
2,court_2,嘉善县人民法院
3,court_3,重庆市沙坪坝区人民法院
4,court_4,厦门市思明区人民法院
5,court_5,郑州市管城回族区人民法院
6,court_6,深圳市福田区人民法院
7,court_7,杭州市余杭区人民法院
8,court_8,张家港市人民法院
9,court_9,肥城市人民法院
10,court_10,上海市黄浦区人民法院
11,court_11,宁陕县人民法院
12,court_12,山东省菏泽市中级人民法院
13,court_13,北京市昌平区人民法院
14,court_14,杭州市萧山区人民法院
15,court_15,上海市长宁区人民法院
16,court_16,上海市浦东新区人民法院
17,court_17,上海市徐汇区人民法院
18,court_18,江苏省无锡市中级人民法院
19,court_19,天津市第一中级人民法院
20,court_20,沈阳市铁西区人民法院
21,court_21,马鞍山市花山区人民法院
22,court_22,上海市松江区人民法院
23,court_23,云南省昆明市中级人民法院
24,court_24,杭州市江干区人民法院
25,court_25,安阳市北关区人民法院
26,court_26,中山市第一人民法院
27,court_27,杭州市下城区人民法院
28,court_28,重庆市大渡口区人民法院
29,court_29,广东省广州市中级人民法院
30,court_30,韶山市人民法院
31,court_31,常德市武陵区人民法院
32,court_32,西安市碑林区人民法院
33,court_33,重庆市南岸区人民法院
34,court_34,河北省秦皇岛市中级人民法院
35,court_35,广州市天河区人民法院
36,court_36,陕西省咸阳市中级人民法院
37,court_37,北京市石景山区人民法院
38,court_38,宜兴市人民法院
39,court_39,北京市大兴区人民法院
40,court_40,河南省开封市中级人民法院
41,court_41,广州市越秀区人民法院
42,court_42,北京市朝阳区人民法院
43,court_43,无锡市滨湖区人民法院
44,court_44,北京市东城区人民法院
45,court_45,珠海市金湾区人民法院
46,court_46,重庆市巴南区人民法院
47,court_47,益阳市赫山区人民法院
48,court_48,安阳市文峰区人民法院
49,court_49,湛江市赤坎区人民法院
50,court_50,鄂尔多斯市东胜区人民法院
51,court_51,天津市和平区人民法院
52,court_52,湖南省长沙市中级人民法院
53,court_53,沈阳市沈河区人民法院
54,court_54,长沙市芙蓉区人民法院
55,court_55,绍兴市越城区人民法院
56,court_56,广东省珠海市中级人民法院
