,relation_id,judge_court,judge,court,judge_id,court_id
0,rjudge_court_0,"('萧京', '杭州市西湖区人民法院')",萧京,杭州市西湖区人民法院,judge_0,court_0
1,rjudge_court_1,"('张延安', '安康市汉滨区人民法院')",张延安,安康市汉滨区人民法院,judge_1,court_1
2,rjudge_court_2,"('吕学强', '嘉善县人民法院')",吕学强,嘉善县人民法院,judge_2,court_2
3,rjudge_court_3,"('何思静', '重庆市沙坪坝区人民法院')",何思静,重庆市沙坪坝区人民法院,judge_3,court_3
4,rjudge_court_4,"('邱瑛', '厦门市思明区人民法院')",邱瑛,厦门市思明区人民法院,judge_4,court_4
5,rjudge_court_5,"('时满良', '郑州市管城回族区人民法院')",时满良,郑州市管城回族区人民法院,judge_5,court_5
6,rjudge_court_6,"('张月明', '深圳市福田区人民法院')",张月明,深圳市福田区人民法院,judge_6,court_6
7,rjudge_court_7,"('胡雁翔', '杭州市余杭区人民法院')",胡雁翔,杭州市余杭区人民法院,judge_7,court_7
8,rjudge_court_8,"('钱凌虹', '张家港市人民法院')",钱凌虹,张家港市人民法院,judge_8,court_8
9,rjudge_court_9,"('鹿军', '肥城市人民法院')",鹿军,肥城市人民法院,judge_9,court_9
10,rjudge_court_10,"('吴建波', '上海市黄浦区人民法院')",吴建波,上海市黄浦区人民法院,judge_10,court_10
11,rjudge_court_11,"('王晓', '宁陕县人民法院')",王晓,宁陕县人民法院,judge_11,court_11
12,rjudge_court_12,"('李建民', '山东省菏泽市中级人民法院')",李建民,山东省菏泽市中级人民法院,judge_12,court_12
13,rjudge_court_13,"('尤文静', '北京市昌平区人民法院')",尤文静,北京市昌平区人民法院,judge_13,court_13
14,rjudge_court_14,"('杜智慧', '杭州市萧山区人民法院')",杜智慧,杭州市萧山区人民法院,judge_14,court_14
15,rjudge_court_15,"('陈婷婷', '上海市长宁区人民法院')",陈婷婷,上海市长宁区人民法院,judge_15,court_15
16,rjudge_court_16,"('陈林', '上海市浦东新区人民法院')",陈林,上海市浦东新区人民法院,judge_16,court_16
17,rjudge_court_17,"('徐燕菁', '上海市徐汇区人民法院')",徐燕菁,上海市徐汇区人民法院,judge_17,court_17
18,rjudge_court_18,"('任华', '江苏省无锡市中级人民法院')",任华,江苏省无锡市中级人民法院,judge_18,court_18
19,rjudge_court_19,"('郭捷', '天津市第一中级人民法院')",郭捷,天津市第一中级人民法院,judge_19,court_19
20,rjudge_court_20,"('战维家', '沈阳市铁西区人民法院')",战维家,沈阳市铁西区人民法院,judge_20,court_20
21,rjudge_court_21,"('王蓓', '上海市浦东新区人民法院')",王蓓,上海市浦东新区人民法院,judge_21,court_16
22,rjudge_court_22,"('许林', '马鞍山市花山区人民法院')",许林,马鞍山市花山区人民法院,judge_22,court_21
23,rjudge_court_23,"('严久利', '上海市松江区人民法院')",严久利,上海市松江区人民法院,judge_23,court_22
24,rjudge_court_24,"('王政', '云南省昆明市中级人民法院')",王政,云南省昆明市中级人民法院,judge_24,court_23
25,rjudge_court_25,"('韩涛', '杭州市江干区人民法院')",韩涛,杭州市江干区人民法院,judge_25,court_24
26,rjudge_court_26,"('缪惠玲', '安阳市北关区人民法院')",缪惠玲,安阳市北关区人民法院,judge_26,court_25
27,rjudge_court_27,"('谭敏', '中山市第一人民法院')",谭敏,中山市第一人民法院,judge_27,court_26
28,rjudge_court_28,"('叶东晓', '杭州市下城区人民法院')",叶东晓,杭州市下城区人民法院,judge_28,court_27
29,rjudge_court_29,"('周毅', '重庆市大渡口区人民法院')",周毅,重庆市大渡口区人民法院,judge_29,court_28
30,rjudge_court_30,"('邓娟闰', '广东省广州市中级人民法院')",邓娟闰,广东省广州市中级人民法院,judge_30,court_29
31,rjudge_court_31,"('赵亚军', '韶山市人民法院')",赵亚军,韶山市人民法院,judge_31,court_30
32,rjudge_court_32,"('胡祥彪', '常德市武陵区人民法院')",胡祥彪,常德市武陵区人民法院,judge_32,court_31
33,rjudge_court_33,"('谢虹', '西安市碑林区人民法院')",谢虹,西安市碑林区人民法院,judge_33,court_32
34,rjudge_court_34,"('李泽平', '重庆市南岸区人民法院')",李泽平,重庆市南岸区人民法院,judge_34,court_33
35,rjudge_court_35,"('李蓬', '河北省秦皇岛市中级人民法院')",李蓬,河北省秦皇岛市中级人民法院,judge_35,court_34
36,rjudge_court_36,"('柯秋海', '宁陕县人民法院')",柯秋海,宁陕县人民法院,judge_36,court_11
37,rjudge_court_37,"('何晖辉', '广州市天河区人民法院')",何晖辉,广州市天河区人民法院,judge_37,court_35
38,rjudge_court_38,"('蔡昕', '陕西省咸阳市中级人民法院')",蔡昕,陕西省咸阳市中级人民法院,judge_38,court_36
39,rjudge_court_39,"('赵莹', '北京市石景山区人民法院')",赵莹,北京市石景山区人民法院,judge_39,court_37
40,rjudge_court_40,"('范晟程', '宜兴市人民法院')",范晟程,宜兴市人民法院,judge_40,court_38
41,rjudge_court_41,"('任宝忠', '北京市大兴区人民法院')",任宝忠,北京市大兴区人民法院,judge_41,court_39
42,rjudge_court_42,"('李莎莎', '河南省开封市中级人民法院')",李莎莎,河南省开封市中级人民法院,judge_42,court_40
43,rjudge_court_43,"('李琳', '广州市越秀区人民法院')",李琳,广州市越秀区人民法院,judge_43,court_41
44,rjudge_court_44,"('赵鑫', '北京市朝阳区人民法院')",赵鑫,北京市朝阳区人民法院,judge_44,court_42
45,rjudge_court_45,"('包瑾玲', '无锡市滨湖区人民法院')",包瑾玲,无锡市滨湖区人民法院,judge_45,court_43
46,rjudge_court_46,"('张爱京', '北京市东城区人民法院')",张爱京,北京市东城区人民法院,judge_46,court_44
47,rjudge_court_47,"('罗英典', '珠海市金湾区人民法院')",罗英典,珠海市金湾区人民法院,judge_47,court_45
48,rjudge_court_48,"('姚坤林', '重庆市巴南区人民法院')",姚坤林,重庆市巴南区人民法院,judge_48,court_46
49,rjudge_court_49,"('颜志军', '益阳市赫山区人民法院')",颜志军,益阳市赫山区人民法院,judge_49,court_47
50,rjudge_court_50,"('李娟', '安阳市文峰区人民法院')",李娟,安阳市文峰区人民法院,judge_50,court_48
51,rjudge_court_51,"('陈以冲', '湛江市赤坎区人民法院')",陈以冲,湛江市赤坎区人民法院,judge_51,court_49
52,rjudge_court_52,"('王仪蔚', '上海市徐汇区人民法院')",王仪蔚,上海市徐汇区人民法院,judge_52,court_17
53,rjudge_court_53,"('罗阳清', '重庆市南岸区人民法院')",罗阳清,重庆市南岸区人民法院,judge_53,court_33
54,rjudge_court_54,"('刘媛', '鄂尔多斯市东胜区人民法院')",刘媛,鄂尔多斯市东胜区人民法院,judge_54,court_50
55,rjudge_court_55,"('冯震', '天津市和平区人民法院')",冯震,天津市和平区人民法院,judge_55,court_51
56,rjudge_court_56,"('郭旻', '湖南省长沙市中级人民法院')",郭旻,湖南省长沙市中级人民法院,judge_56,court_52
57,rjudge_court_57,"('杨宁', '沈阳市沈河区人民法院')",杨宁,沈阳市沈河区人民法院,judge_57,court_53
58,rjudge_court_58,"('闫静', '长沙市芙蓉区人民法院')",闫静,长沙市芙蓉区人民法院,judge_58,court_54
59,rjudge_court_59,"('叶其成', '上海市长宁区人民法院')",叶其成,上海市长宁区人民法院,judge_59,court_15
