,judge_id,judge
0,judge_0,萧京
1,judge_1,张延安
2,judge_2,吕学强
3,judge_3,何思静
4,judge_4,邱瑛
5,judge_5,时满良
6,judge_6,张月明
7,judge_7,胡雁翔
8,judge_8,钱凌虹
9,judge_9,鹿军
10,judge_10,吴建波
11,judge_11,王晓
12,judge_12,李建民
13,judge_13,尤文静
14,judge_14,杜智慧
15,judge_15,陈婷婷
16,judge_16,陈林
17,judge_17,徐燕菁
18,judge_18,任华
19,judge_19,郭捷
20,judge_20,战维家
21,judge_21,王蓓
22,judge_22,许林
23,judge_23,严久利
24,judge_24,王政
25,judge_25,韩涛
26,judge_26,缪惠玲
27,judge_27,谭敏
28,judge_28,叶东晓
29,judge_29,周毅
30,judge_30,邓娟闰
31,judge_31,赵亚军
32,judge_32,胡祥彪
33,judge_33,谢虹
34,judge_34,李泽平
35,judge_35,李蓬
36,judge_36,柯秋海
37,judge_37,何晖辉
38,judge_38,蔡昕
39,judge_39,赵莹
40,judge_40,范晟程
41,judge_41,任宝忠
42,judge_42,李莎莎
43,judge_43,李琳
44,judge_44,赵鑫
45,judge_45,包瑾玲
46,judge_46,张爱京
47,judge_47,罗英典
48,judge_48,姚坤林
49,judge_49,颜志军
50,judge_50,李娟
51,judge_51,陈以冲
52,judge_52,王仪蔚
53,judge_53,罗阳清
54,judge_54,刘媛
55,judge_55,冯震
56,judge_56,郭旻
57,judge_57,杨宁
58,judge_58,闫静
59,judge_59,叶其成
60,judge_60,杨帆
61,judge_61,邓平平
62,judge_62,陈慧峰
63,judge_63,谢伟东
64,judge_64,舒怡
65,judge_65,张健
66,judge_66,储刘明
67,judge_67,唐居文
68,judge_68,郭越
69,judge_69,王子龙
70,judge_70,贡永红
71,judge_71,黄艳
72,judge_72,解宝成
73,judge_73,冼文舜
74,judge_74,谭永玮
75,judge_75,施迎华
76,judge_76,黄超兰
77,judge_77,尹志君
78,judge_78,褚翔
79,judge_79,江志国
80,judge_80,邓晓燕
81,judge_81,罗登文
82,judge_82,麦贤勤
83,judge_83,蒋晔
84,judge_84,杨锐睿
85,judge_85,胡军卫
86,judge_86,刘小兵
87,judge_87,文志林
88,judge_88,梁惠妍
89,judge_89,周红林
90,judge_90,郑林涛
91,judge_91,巩旭红
92,judge_92,刘海英
93,judge_93,崔立斌
94,judge_94,蒋骅
95,judge_95,唐骥
96,judge_96,徐无己
97,judge_97,余积军
98,judge_98,李飞
99,judge_99,崔毅
100,judge_100,张影
101,judge_101,王义嫔
102,judge_102,叶竹芊
103,judge_103,邵华杰
104,judge_104,张建明
105,judge_105,王长军
106,judge_106,沈会川
107,judge_107,周向阳
108,judge_108,李舒啸
109,judge_109,丁淳
110,judge_110,颜弘
111,judge_111,张聪
112,judge_112,李庆祥
113,judge_113,张倩晗
114,judge_114,陈甲骏
115,judge_115,肖知花
116,judge_116,陈惠云
117,judge_117,刘军
118,judge_118,马勇
119,judge_119,郑羚
120,judge_120,金绍奇
121,judge_121,刘可
122,judge_122,孔亚伟
123,judge_123,董璐
124,judge_124,吴媛媛
125,judge_125,李楠
126,judge_126,刘霁月
127,judge_127,朱华
128,judge_128,周凡人
129,judge_129,闵纯
130,judge_130,田璐
131,judge_131,涂永国
132,judge_132,翟福
133,judge_133,周薇
134,judge_134,吕社成
135,judge_135,丁颖
136,judge_136,陈宇帆
137,judge_137,乔毅
138,judge_138,王晓坤
139,judge_139,丁忆宁
140,judge_140,赵兴华
141,judge_141,王翔
142,judge_142,邹利利
143,judge_143,李巧英
144,judge_144,魏文秀
145,judge_145,武子文
146,judge_146,吕迪
147,judge_147,高建义
148,judge_148,雷霆
149,judge_149,郑友杰
